Name,Marks,City,Mobile Number
Rajeshwari S.,85,Ahmedabad,8917005441
Siddharth Jain,85,Pune,9761029547
Divya Reddy,53,Delhi,8313388962
Deepika Padukone,65,Delhi,6952192084
Sunita Devi,84,Delhi,9963343358
Priyanka Chopra,68,Chennai,8314940256
Lakshya Joshi,41,Chennai,7660145739
Chaitanya Reddy,88,Chennai,7548112481
Utkarsh Dubey,64,Kolkata,9873017012
Kavya Menon,100,Jaipur,6680221492
Abhinav Jha,38,Mumbai,8698791168
Ananya Iyer,85,Bangalore,8167146162
Eshwar Rao,63,Ahmedabad,9623738081
Varun Dhawan,79,Mumbai,6267283653
Vivek Agnihotri,57,Jaipur,8816459976
Suresh Kumar,52,Pune,7492934417
Aditi Rao,55,Kolkata,6225060014
Meera Pillai,83,Hyderabad,8255570665
Aditi Rao,45,Kolkata,9493861173
Sunita Devi,59,Lucknow,7315765466
Nikhil Saxena,56,Delhi,9709087129
Ananya Iyer,74,Mumbai,7386270491
Sameer Ansari,63,Jaipur,9215103568
Sneha Mukherjee,40,Jaipur,7793781677
Rahul Bose,66,Hyderabad,6468820311
Suresh Kumar,88,Bangalore,8242759009
Advait Nair,84,Hyderabad,8525192529
Ishani Kapoor,98,Chennai,7733532881
Nandini Shah,95,Kolkata,7251594449
Ojaswi Bhatt,93,Lucknow,7274119916
Lakshya Joshi,55,Chennai,6642793634
Yuvraj Singh,66,Ahmedabad,6260058197
Shruti Iyer,60,Chennai,6697012898
Suresh Kumar,73,Kolkata,9629830667
Hritik Malhotra,68,Delhi,9881978940
Kabir Khan,68,Pune,7200003545
Aarav Sharma,41,Lucknow,9584512199
Lakshya Joshi,59,Ahmedabad,8549603107
Kabir Khan,47,Pune,6289516261
Amitabh Tiwari,89,Chennai,8500821730
Rajeshwari S.,55,Chennai,9513409694
Ranveer Goel,82,Mumbai,7238743046
Tanya Mishra,67,Delhi,7508344009
Manish Pandey,88,Bangalore,7962157425
Vikram Rathore,78,Kolkata,8684842627
Vanya Patil,41,Lucknow,8828763766
Ritu Phogat,62,Mumbai,9433873957
Varun Dhawan,50,Kolkata,7544327329
Ishani Kapoor,90,Ahmedabad,6255998860
Suresh Kumar,93,Hyderabad,8466211324
Arjun Verma,98,Delhi,6844830433
Rohan Das,77,Delhi,8444644100
Gauri Deshmukh,88,Delhi,9879564227
Deepika Padukone,95,Delhi,8918369442
Sameer Ansari,53,Mumbai,8428127103
Chaitanya Reddy,81,Chennai,6152179951
Pooja Hegde,55,Lucknow,6882879289
Sneha Mukherjee,69,Mumbai,9692274580
Nikhil Saxena,81,Jaipur,6348285368
Tanya Mishra,95,Jaipur,8116263097
Vanya Patil,81,Kolkata,9451122097
Kiran More,88,Chennai,7471038685
Kavya Menon,40,Mumbai,8415807945
Suresh Kumar,75,Chennai,6572624926
Ishani Kapoor,62,Delhi,7867044204
Ishani Kapoor,44,Hyderabad,7267856642
Utkarsh Dubey,63,Chennai,8957757873
Vanya Patil,74,Delhi,9553761574
Nandini Shah,53,Delhi,9353712423
Aditi Rao,92,Mumbai,6990031133
Chaitanya Reddy,48,Kolkata,8596595326
Gauri Deshmukh,55,Pune,8598040744
